Request ID,URL Queried,Query Reponse Status,Start Time,End Time,Response Size
641d93ea-ccef-4d44-b17d-7ca84450a92d,https://vimeo.com,200 OK,1597203572133575000,1597203574366903000,29000
5af0fbde-d74f-459d-b8ba-3b6c40cc5821,https://twitter.com,200 OK,1597203572133604000,1597203574846183000,41980
4761b9a9-9618-4d12-a216-d99feb592414,https://pinterest.com,200 OK,1597203572133715000,1597203575903253000,57188
3c00bcbb-765b-4fb1-b07f-780794a44dbc,https://google.com,200 OK,1597203572133599000,1597203575110377000,12030
e3c50ec0-1e81-4561-8344-1d56fb46dfd2,https://apple.com,200 OK,1597203572133430000,1597203577549506000,69382
46b41e11-5650-414e-8212-3797625cc74b,https://facebook.com,200 OK,1597203572133602000,1597203575865012000,152009
7d8ca041-9997-4a64-a0bd-5da094319fef,https://instagram.com,200 OK,1597203572133591000,1597203580204002000,45378
4c62f608-6f4e-4018-9959-b470ea2cc014,https://microsoft.com,200 OK,1597203572133557000,1597203580431516000,197303
245d4dee-254b-45c3-a242-2b49674c9fb8,https://adobe.com,200 OK,1597203572133422000,1597203581389066000,139301
d9c9da67-9b7d-48f2-a906-1beaf77a434c,https://linkedin.com,200 OK,1597203572133511000,1597203580429699000,85216
83c17ef9-c8dd-4d15-a1de-325a5e6225d9,https://youtube.com,200 OK,1597203572133435000,1597203576043096000,547637
